AlbumId,AlbumName,AlbumReleaseDate,GenreId,ArtistId,AlbumPopularity,TotalTracks
3gddM4c24OsUsD35q9qdFT,Push,1992-01-01,50f5BoytJN3FrlUtDgltO5,40akJv6gxzx8uyRg3vBRuX,38,4
0z7Dc7FRsDH7E4kj32mKyM,Bricks Are Heavy,1992-01-01,7fxpqs4G8vj3rFYbJnsG7w,7yCGrS6Xh3UngvY6Ad5sMJ,57,10
0z7Dc7FRsDH7E4kj32mKyM,Bricks Are Heavy,1992-01-01,33TQqUKv3eajMYsetR3ELs,7yCGrS6Xh3UngvY6Ad5sMJ,57,7
5AjDtAXzFEQPbfZSAnIM5R,Driving Towards The Daylight,2012-05-22,1euT3PDzvROfebwCTZieWq,2SNzxY1OsSCHBLVi77mpPQ,46,8
4FCoFSNIFhK36holxHWCnc,Jar Of Flies,1994-01-01,2Gw3Xa08XleghwGUmNcPLK,64tNsm6TnZe2zpcMVMOoHL,72,7
58NXIEYqmq5dQHg9nV9duM,Dirt (2022 Remaster),1992-09-29,5EnYdTx0BWhWM5YDcPkGAa,64tNsm6TnZe2zpcMVMOoHL,77,5
4FCoFSNIFhK36holxHWCnc,Jar Of Flies,1994-01-01,4PtZE0h5oyPhCtPjg3NeYQ,64tNsm6TnZe2zpcMVMOoHL,72,4
3CNnWJLxLMowI9DYqgLLeq,Piece Of Cake,1992-01-01,3Fg4SlOiqKDodVJbAM2Gut,7LuYiSXiWs86rwWJjEEgB9,41,6
2k3nz0I7mJzegtkooii4za,Eternelle,1987-10-31,3dkIE8P7hvl3tHl9KSb6dA,1WPcVNert9hn7mHsPKDn7j,67,1
75bLu4Ung5QbMdJYxx7wTI,The Soft Parade,1969-07-21,0YMzPd9mYx4txOuCnhYUGU,22WZ7M8sxp5THdruNY3gXt,62,9
1YZiR5FINFOlZPGKSVplIY,The Very Best of the Doors,2007-09-25,4WAyUf6OhPTSnbVUPYzMY9,22WZ7M8sxp5THdruNY3gXt,61,26
5fxYu3rqjCNTSPKN8mtEl2,"Never Mind The Bollocks, Here’s The Sex Pistols",1977-10-27,2mKj8Em0GLFu8I78yM1CfU,1u7kkVrr14iBvrpYnZILJR,63,10
5fxYu3rqjCNTSPKN8mtEl2,"Never Mind The Bollocks, Here’s The Sex Pistols",1977-10-27,6ui6l3ZNvlrGQZArwo8195,1u7kkVrr14iBvrpYnZILJR,63,5
5fxYu3rqjCNTSPKN8mtEl2,"Never Mind The Bollocks, Here’s The Sex Pistols",1977-10-27,3LoDeIbiR12sAznmpNEmKA,1u7kkVrr14iBvrpYnZILJR,63,8
0IomjU2bXFng4LQBYn7Het,Bella Donna (2016 Remastered),1981-07-27,67oVj9wKv1T0effsUcny7A,7crPfGd2k81ekOoSqQKWWz,69,1
0LfM3PGkXE6KvJEE1HkOnz,Greatest Hits,1988-11-21,19Ym5Sg0YyOCa6ao21bdoG,08GQAI4eElDnROBrJRGE0X,77,6
6rZ5ZREEbF43M67P2yV6Sx,Life For The Taking,1978-01-01,6MoQVatTYSlCJ5IHQRWXk7,4Tw2N3wdvJPGEU7JqMxFfE,45,5
2QV9SouhSHFNpls0Dvyoo5,Rock 'n' Roll Juvenile,1979-01-01,3Ug96zKa29P3vICEEcYajZ,2nvKpWcP8etYTq4JrRiUiy,48,12
0IomjU2bXFng4LQBYn7Het,Bella Donna (2016 Remastered),1981-07-27,7L3b6iaVhDVjfo52Hbvh9Z,7crPfGd2k81ekOoSqQKWWz,69,6
3coLNlyStg9h7f8CZ103Rl,Ladies And Gentlemen... The Best Of George Michael,1998-11-09,1SKApv6ZfJ9bkUxeRObJEF,19ra5tSw0tWufvUp8GotLo,79,5
6v5IVMmY1IvWtbfnQoiFSf,Strange Days,1967-09-25,0ja1dJM5gBTjk5U9wsMP9r,22WZ7M8sxp5THdruNY3gXt,73,6
75bLu4Ung5QbMdJYxx7wTI,The Soft Parade,1969-07-21,5QTKB8UOaBO9zvWr6ap05R,22WZ7M8sxp5THdruNY3gXt,23,6
7IKUTIc9UWuVngyGPtqNHS,L.A. Woman,1971-04-19,3uqxwLp7Hs9sJhm4uVF8li,22WZ7M8sxp5THdruNY3gXt,72,1
0qZTwrunzX3LG45PvRghmh,Waiting for the Sun,1968-07-03,78JYtz4yOPqAEgZZc3SBLT,22WZ7M8sxp5THdruNY3gXt,65,6
75bLu4Ung5QbMdJYxx7wTI,The Soft Parade,1969-07-21,0wepIheFRGnHEDmZwfINp6,22WZ7M8sxp5THdruNY3gXt,23,4
1jWmEhn3ggaL6isoyLfwBn,The Doors,1967-01-04,6ToM0uwxtPKo9CMpbPGYvM,22WZ7M8sxp5THdruNY3gXt,75,1
0qZTwrunzX3LG45PvRghmh,Waiting for the Sun,1968-07-03,4CIGLBUyPKZzHoYankmQzk,22WZ7M8sxp5THdruNY3gXt,65,9
0qZTwrunzX3LG45PvRghmh,Waiting for the Sun,1968-07-03,32bJv8V2Xgi5mtxdPcsi8B,22WZ7M8sxp5THdruNY3gXt,65,7
3zVyMAtWiXugudXuCRiUjL,The Doors (50th Anniversary Deluxe Edition),2017-03-31,693TK5ayPnvu3T3VJB4SZJ,22WZ7M8sxp5THdruNY3gXt,50,3
75bLu4Ung5QbMdJYxx7wTI,The Soft Parade,1969-07-21,0g1NRq4KmbEYgzaPF7G6CG,22WZ7M8sxp5THdruNY3gXt,62,1
26Fac6kNgB6MLeoGVkmpKN,Full Circle,1972-07-17,5rMfihaxthEm9rMDSnNk1r,22WZ7M8sxp5THdruNY3gXt,40,6
6uhwVoXKDMzdXXjhTCH6Nk,Other Voices,1971-10-18,0lWHA93ERijP8zhqbyoJXg,22WZ7M8sxp5THdruNY3gXt,36,2
6v5IVMmY1IvWtbfnQoiFSf,Strange Days,1967-09-25,7MW3s6XnZua7CNQAfmdGe8,22WZ7M8sxp5THdruNY3gXt,73,4
